Date,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,ADANITRANS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,DMART,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BERGEPAINT,BPCL,BHARTIARTL,BIOCON,BOSCHLTD,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DLF,DABUR,DIVISLAB,DRREDDY,EICHERMOT,NYKAA,GAIL,GLAND,GODREJCP,GRASIM,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HAVELLS,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ICICIGI,ICICIPRULI,ITC,IOC,INDUSTOWER,INDUSINDBK,NAUKRI,INFY,INDIGO,JSWSTEEL,JUBLFOOD,KOTAKBANK,LTI,LT,LUPIN,M&M,MARICO,MARUTI,MINDTREE,MUTHOOTFIN,NMDC,NTPC,NESTLEIND,ONGC,PAYTM,PIIND,PIDILITIND,PEL,POWERGRID,PGHH,PNB,RELIANCE,SBICARD,SBILIFE,SRF,SHREECEM,SIEMENS,SBIN,SAIL,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,TORNTPHARM,UPL,ULTRACEMCO,MCDOWELL-N,VEDL,WIPRO,ZOMATO,ZYDUSLIFE
2015-03-09,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-10,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-11,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-12,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-13,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-16,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-17,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-18,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,1,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,1
2015-03-19,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,2,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1.0,,1
2015-03-20,1,1,,1,,1,1,1,,1,1,1,1,1,,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,,1,1,2,,1,,1,1,1,1,1,1,,,1.0,1,1,1,1,1,,1,1,1,,1.0,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1.0,,1
